Race,Target
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
White,0
Non-white,0
Non-white,0
Non-white,0
Non-white,0
Non-white,0
Non-white,0
Non-white,0
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
White,1
Non-white,1
Non-white,1
Non-white,1
